"","ID1","ID2","k0","k1","kinship"
"108","S123","S159",0.896784261281142,0,0.0516078693594291
"109","S124","S125",0.30391983648213,0.534033955640028,0.214531592848928
"110","S124","S126",0.465074977502678,0.457439802653145,0.153102560585375
"111","S124","S127",0.447762722699687,0.481091630066434,0.155845731133548
"112","S124","S128",0.463997674776024,0.440337289459266,0.157916840247171
"113","S124","S129",0.47301575249535,0.465565769663589,0.147100681336428
"114","S124","S130",0.454955698164743,0.479862906422971,0.152556424311886
"115","S124","S131",0.707223079978121,0.239741013356756,0.0864532066717507
"116","S124","S132",0.722787667233184,0.24525446618418,0.0772925498373629
"117","S124","S133",0.6982083487161,0.23484274051064,0.0921851405142898
"118","S124","S134",0.657041129185562,0.297339082466109,0.0971446647906915
"119","S124","S135",0.656065868610484,0.301493529350719,0.0965936833570786
"120","S124","S136",0.627717990111491,0.328391700846803,0.104043079732554
"121","S124","S137",0.731789557146691,0.220968388092386,0.0788631244035581
"122","S124","S138",0.670762491266065,0.329120117634089,0.0823387249584454
"123","S124","S139",0.682763922512459,0.307789237023496,0.0816707294878965
"124","S124","S140",0.738630345390551,0.261369654609449,0.0653424136523622
"125","S124","P21213_121_S141",0.676017050371886,0.261579651529693,0.0965965619316338
"126","S124","S142",0.694122132377829,0.234480433930889,0.0943188253283633
"127","S124","S143",0.67017574127562,0.299711429748103,0.0899842719251644
"128","S124","S144",0.645463635889616,0.300836042466388,0.102059171438595
"129","S124","S145",0.606140795914748,0.356133150557124,0.107896314403345
"130","S124","S146",0.60920536169455,0.38369968946124,0.099472396787415
"131","S124","S147",0.664824691579709,0.32711581786078,0.0858086997449506
"132","S124","S148",0.625788865459804,0.329988461895893,0.104608451796125
"133","S124","S149",0.678985609667114,0.295478057278168,0.0866376808469008
"134","S124","S151",0.890595518713373,0.0491171717351838,0.0424229477095177
"135","S124","S152",0.898032667015099,0,0.0509836664924504
"136","S124","S153",0.858018943506909,0,0.0709905282465454
"137","S124","S154",0.90566346578262,0.00604822309401368,0.0456562113351866
"138","S124","S155",0.904648880524733,0,0.0476755597376336
"139","S124","S156",0.865315043419663,0,0.0673424782901684
"140","S124","S157",0.875648974545303,0.0281067313485612,0.0551488298902084
"141","S124","S158",0.889241644650041,0,0.0553791776749797
"142","S124","S159",0.897950040221842,0,0.0510249798890792
"143","S125","S126",0.50070137206879,0.390259958418152,0.152084324361067
"144","S125","S127",0.515729283897061,0.351765683737315,0.154193937117141
"145","S125","S128",0.477146670336299,0.385419660206714,0.165071749780172
"146","S125","S129",0.506827557816986,0.378562670605231,0.151945553440199
"147","S125","S130",0.491470240926293,0.379550576535011,0.159377235403101
"148","S125","S131",0.754554895387069,0.138308749998531,0.088145364806833
"149","S125","S132",0.740438639179409,0.213169264936739,0.076488364176111
"150","S125","S133",0.747416597556415,0.148824684441284,0.0890855301114716
"151","S125","S134",0.699804305160043,0.218437563860699,0.0954884564548039
"152","S125","S135",0.683553343464564,0.24130745360088,0.097896464867498
"153","S125","S136",0.652470084857203,0.256148851368997,0.109727744729149
"154","S125","S137",0.766433512036256,0.15470836438405,0.0781061528858595
"155","S125","S138",0.739748104973629,0.233792007419641,0.0716779456582751
"156","S125","S139",0.70480955147203,0.279414241612406,0.0777416638608838
"157","S125","S140",0.759183079971444,0.240816920028556,0.0602042300071389
"158","S125","P21213_121_S141",0.68453131802604,0.21690853498567,0.103507207240562
"159","S125","S142",0.698121347714314,0.184705422425775,0.104762970536399
"160","S125","S143",0.715544510173711,0.201399462534225,0.0918778792795881
"161","S125","S144",0.648598427842577,0.258548909330245,0.11106355874615
"162","S125","S145",0.620088888551328,0.298629003933195,0.115298304741037
"163","S125","S146",0.649237056566452,0.285458219215402,0.104016916912923
"164","S125","S147",0.707561250452448,0.237592193933546,0.0868213262903895
"165","S125","S148",0.65679112635671,0.24882398509365,0.109398440548233
"166","S125","S149",0.714450241156965,0.226071289642667,0.0862570570108507
"167","S125","S151",0.890832308777424,0,0.0545838456112882
"168","S125","S152",0.873533531701477,0,0.0632332341492614
"169","S125","S153",0.836539745160579,0,0.0817301274197106
"170","S125","S154",0.868685954050226,0,0.0656570229748871
